wid,url,Arts,Business,Computers,Games,Health,Home,Kids_and_Teens,News,Recreation,Reference,Science,Shopping,Society,Sports
917678,www.winandsoft.fr,0,1,1,0,0,0,0,0,0,1,0,0,0,0
728091,www.housing.ucsb.edu,0,0,0,0,0,1,1,0,0,0,1,0,0,0
132596,www.daccad.nl,0,1,1,0,0,0,0,0,0,1,0,0,0,0
464355,www.rockhall.com,1,0,0,0,0,0,0,0,1,0,0,0,0,0
492853,www.whus.org,1,0,0,0,0,0,0,1,0,0,0,0,0,0
741916,www.sga.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,1,0
281491,www.alpenrose.co.jp,0,1,0,0,1,0,0,0,0,0,0,1,0,0
750622,www.ronroczphoto.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124424,webtec.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0
649738,www.secheltanimalhospital.com,0,1,0,0,1,0,0,0,1,0,0,0,0,0
576387,www.recitex.com,0,1,0,0,0,0,0,0,0,0,0,0,1,0
834211,gayleturner.net,1,0,0,0,0,0,0,0,0,0,0,0,0,0
412215,www.athleticsbaseball.at,0,0,0,0,0,0,0,0,1,0,0,0,0,1
179196,sfyc.ru,0,0,0,0,0,0,0,0,1,0,0,0,0,0
932714,www.horseracingintfed.com,0,0,0,0,0,0,0,0,1,0,0,0,1,1
97499,aak-styrke.dk,0,0,0,0,0,0,0,0,0,0,0,0,0,1
833769,www.nyufo.com,0,0,0,0,0,0,0,1,0,0,1,0,0,0
597200,mga-architects.net,1,1,0,0,0,1,0,0,0,0,0,0,0,0
9776,www.astroawani.com,0,0,0,0,0,0,0,1,0,0,0,0,0,0
624016,www.cardtronics.com,0,1,1,0,0,0,0,0,0,0,0,0,0,0
355100,www.coloproktologen.de,0,1,0,0,1,0,0,0,0,0,1,0,0,0
206646,www.abm.org.mx,0,1,0,0,0,0,0,0,0,0,0,0,0,0
711905,www.damusers.com,0,1,1,0,0,0,0,0,0,0,0,0,0,0
925501,www.debats-science-societe.net,0,0,0,0,0,0,0,1,0,0,1,0,1,0
666657,www.seattlenanny.com,0,1,0,0,0,1,1,0,0,0,0,0,0,0
645912,www.foodaddiction.com,0,0,0,0,1,0,0,0,0,0,0,0,1,0
599079,www.baystatesavingsbank.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
377752,www.landesferienkurs.de,1,0,0,0,0,0,1,0,0,0,0,0,0,0
707574,www.k4hy.net,0,0,0,0,0,0,0,0,1,0,1,0,0,0
145054,www.bibliotheeksmilde.nl,0,0,0,0,0,0,1,0,0,1,0,0,0,0
743546,www.boroughmuirsports.co.uk,0,0,0,0,0,0,0,0,1,0,0,0,0,1
261926,www.ankokukoubou.com,0,0,0,1,0,0,0,0,1,0,0,0,1,0
876051,www.myba-online.com,0,0,0,0,0,0,1,0,1,0,0,0,0,1
152021,www.littlechicken.nl,0,0,0,1,0,0,1,0,0,0,0,0,0,0
925263,www.argo-asso.com,0,0,0,0,1,0,0,0,0,0,0,0,1,0
557950,www.joepublicfilms.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146281,www.vwe.nl,0,1,0,0,0,0,0,0,0,0,0,0,0,0
